"Age","Time of death","Cause of death","Age years"
"1","1","HUNGER","10"
"1","1","HUNGER","10"
"1","1","HUNGER","0"
"1","1","HUNGER","5"
"1","1","HUNGER","7"
"1","1","HUNGER","6"
"1","1","HUNGER","6"
"1","1","HUNGER","7"
"1","1","HUNGER","10"
"1","1","HUNGER","0"
"1","1","HUNGER","10"
"1","1","HUNGER","1"
"1","1","HUNGER","7"
"1","1","HUNGER","3"
"1","1","HUNGER","10"
"1","1","HUNGER","2"
"2","2","AGE","9"
"5","5","AGE","10"
"7","7","AGE","9"
"8","8","AGE","10"
"8","8","AGE","10"
"9","9","AGE","9"
"11","11","AGE","10"
"16","16","AGE","9"
"20","20","AGE","9"
"31","31","AGE","9"
"41","41","AGE","10"
"51","51","HUNGER","3"
"55","55","HUNGER","4"
"60","60","AGE","10"
"78","78","HUNGER","6"
"86","86","HUNGER","3"
"87","87","HUNGER","6"
"97","97","HUNGER","1"
"98","98","HUNGER","5"
"9","99","HUNGER","0"
"9","100","HUNGER","0"
"9","100","HUNGER","0"
"9","100","HUNGER","0"
"9","105","HUNGER","0"
"9","105","HUNGER","0"
"108","108","HUNGER","5"
"17","108","HUNGER","0"
"110","110","HUNGER","6"
"15","110","HUNGER","0"
"20","111","HUNGER","0"
"112","112","HUNGER","1"
"113","113","HUNGER","3"
"24","115","HUNGER","0"
"26","118","HUNGER","0"
"24","120","HUNGER","0"
"15","120","HUNGER","0"
"121","121","HUNGER","3"
"123","123","HUNGER","7"
"21","124","HUNGER","0"
"34","125","HUNGER","0"
"126","126","HUNGER","2"
"24","127","HUNGER","0"
"129","129","HUNGER","7"
"42","133","HUNGER","0"
"32","135","HUNGER","0"
"46","138","HUNGER","0"
"139","139","HUNGER","5"
"31","140","HUNGER","0"
"49","147","HUNGER","0"
"151","151","HUNGER","2"
"61","152","HUNGER","0"
"68","164","HUNGER","0"
"34","172","HUNGER","0"
"174","174","HUNGER","2"
"175","175","HUNGER","2"
"80","178","HUNGER","0"
"75","182","HUNGER","0"
"81","184","HUNGER","0"
"101","191","HUNGER","0"
"94","192","HUNGER","0"
"62","194","HUNGER","0"
"56","196","HUNGER","0"
"90","197","HUNGER","0"
"206","206","HUNGER","3"
"212","212","HUNGER","0"
"117","213","HUNGER","0"
"118","214","HUNGER","0"
"215","215","HUNGER","6"
"218","218","HUNGER","1"
"93","220","HUNGER","0"
"84","224","HUNGER","0"
"100","227","HUNGER","0"
"234","234","HUNGER","8"
"235","235","HUNGER","5"
"244","244","HUNGER","2"
"137","246","HUNGER","0"
"254","254","HUNGER","2"
"164","255","HUNGER","0"
"256","256","HUNGER","3"
"149","256","HUNGER","0"
"126","258","HUNGER","0"
"129","263","HUNGER","0"
"127","267","HUNGER","0"
"130","268","HUNGER","0"
"280","280","HUNGER","5"
"190","281","HUNGER","0"
"155","289","HUNGER","0"
"290","290","HUNGER","2"
"293","293","HUNGER","2"
"202","311","HUNGER","0"
"317","317","HUNGER","6"
"360","360","HUNGER","2"
"371","371","AGE","9"
"282","374","HUNGER","0"
"379","379","HUNGER","1"
"258","390","HUNGER","0"
"398","398","HUNGER","1"
"401","401","HUNGER","1"
"301","409","HUNGER","0"
"321","412","HUNGER","0"
"414","414","AGE","9"
"421","421","HUNGER","8"
"331","465","HUNGER","0"
"357","484","HUNGER","0"
"503","503","HUNGER","6"
"391","508","HUNGER","0"
"512","512","HUNGER","7"
"540","540","HUNGER","1"
"578","695","HUNGER","0"
"2982","3098","HUNGER","0"
"2997","3126","HUNGER","0"
"2997","3130","HUNGER","2"
"3043","3171","HUNGER","0"
"3046","3183","HUNGER","0"
"3086","3192","HUNGER","0"
"3094","3196","HUNGER","1"
"3111","3211","HUNGER","4"
"3124","3216","HUNGER","0"
"3115","3232","HUNGER","7"
"3111","3248","HUNGER","1"
"3140","3252","HUNGER","3"
"3124","3252","HUNGER","0"
"3126","3255","HUNGER","0"
"3300","3414","HUNGER","3"
"3313","3429","HUNGER","1"
"3325","3437","HUNGER","4"
"3329","3466","HUNGER","1"
"3417","3508","HUNGER","0"
"3413","3537","HUNGER","1"
"3413","3537","HUNGER","0"
"3457","3595","HUNGER","7"
"3500","3601","HUNGER","0"
"3500","3618","HUNGER","0"
"3531","3631","HUNGER","0"
"3496","3634","HUNGER","0"
"3560","3674","HUNGER","3"
"3578","3701","HUNGER","1"
"3565","3701","HUNGER","0"
"3569","3707","HUNGER","7"
"3618","3720","HUNGER","2"
"3656","3761","HUNGER","2"
"3661","3762","HUNGER","1"
"3659","3766","HUNGER","0"
"3676","3767","HUNGER","1"
"3633","3768","HUNGER","0"
"3681","3790","HUNGER","3"
"3690","3804","HUNGER","1"
"3703","3808","HUNGER","2"
"3787","3914","HUNGER","0"
"3829","3929","HUNGER","6"
"3805","3932","HUNGER","0"
"3819","3933","HUNGER","0"
"3812","3939","HUNGER","0"
"3809","3942","HUNGER","1"
"3843","3948","HUNGER","0"
"3885","3977","HUNGER","2"
"3866","3980","HUNGER","0"
"3917","4032","HUNGER","0"
"3935","4057","HUNGER","3"
"3969","4069","HUNGER","1"
"3995","4095","HUNGER","1"
"4056","4174","HUNGER","0"
"4064","4180","HUNGER","0"
"4076","4181","HUNGER","1"
"4069","4184","HUNGER","1"
"4077","4197","HUNGER","0"
"4097","4200","HUNGER","0"
"4076","4205","HUNGER","3"
"4081","4214","HUNGER","2"
"4134","4240","HUNGER","1"
"4140","4258","HUNGER","0"
"4161","4269","HUNGER","0"
"4169","4272","HUNGER","0"
"4139","4275","HUNGER","2"
"4185","4276","HUNGER","4"
"4158","4280","HUNGER","0"
"4212","4317","HUNGER","1"
"4219","4333","HUNGER","1"
"4230","4350","HUNGER","0"
"4225","4362","HUNGER","4"
"4391","4487","HUNGER","5"
"4541","4644","HUNGER","0"
"4532","4646","HUNGER","3"
"4535","4650","HUNGER","2"
"4782","4895","HUNGER","0"
"4860","4963","HUNGER","1"
"4840","4968","HUNGER","0"
"4851","4984","HUNGER","1"
"4937","5043","HUNGER","5"
"4952","5086","HUNGER","2"
"5134","5240","HUNGER","6"
"5245","5360","HUNGER","1"
"5267","5384","HUNGER","0"
"5335","5448","HUNGER","1"
"5336","5451","HUNGER","1"
"5378","5495","HUNGER","0"
"5431","5548","HUNGER","0"
"5449","5565","HUNGER","0"
"5466","5569","HUNGER","2"
"5436","5575","HUNGER","1"
"5484","5603","HUNGER","0"
"5484","5603","HUNGER","0"
"5488","5607","HUNGER","0"
"5591","5723","HUNGER","2"
"5618","5734","HUNGER","4"
"5630","5755","HUNGER","1"
"5687","5782","HUNGER","0"
"5658","5796","HUNGER","1"
"5701","5829","HUNGER","2"
"5733","5865","HUNGER","2"
"5740","5875","HUNGER","0"
"5802","5906","HUNGER","0"
"5820","5933","HUNGER","2"
"5857","5947","HUNGER","0"
"5856","5952","HUNGER","0"
"5855","5953","HUNGER","1"
"5851","5957","HUNGER","0"
"5858","5960","HUNGER","0"
"5854","5960","HUNGER","0"
"5846","5961","HUNGER","3"
"5825","5961","HUNGER","1"
"5849","5963","HUNGER","0"
"5856","5970","HUNGER","0"
"5853","5972","HUNGER","0"
"5872","5974","HUNGER","0"
"5874","5976","HUNGER","0"
"5857","5976","HUNGER","0"
"5865","5982","HUNGER","0"
"5849","5983","HUNGER","0"
"5849","5984","HUNGER","0"
"5888","5988","HUNGER","0"
"5853","5992","HUNGER","0"
"5891","5993","HUNGER","0"
"5894","5995","HUNGER","0"
"5857","5996","HUNGER","0"
"5900","5998","HUNGER","1"
"5900","6001","HUNGER","7"
"5864","6003","HUNGER","0"
"5909","6004","HUNGER","0"
"5871","6005","HUNGER","3"
"5915","6010","HUNGER","0"
"5893","6012","HUNGER","0"
"5883","6021","HUNGER","2"
"5905","6022","HUNGER","0"
"5887","6022","HUNGER","0"
"5924","6025","HUNGER","0"
"5897","6031","HUNGER","5"
"5916","6032","HUNGER","3"
"5897","6032","HUNGER","1"
"5916","6033","HUNGER","0"
"5911","6033","HUNGER","0"
"5929","6036","HUNGER","0"
"5923","6041","HUNGER","5"
"5919","6041","HUNGER","1"
"5946","6046","HUNGER","1"
"5913","6049","HUNGER","3"
"5959","6049","HUNGER","0"
"5954","6049","HUNGER","0"
"5928","6056","HUNGER","3"
"5954","6056","HUNGER","0"
"5961","6061","HUNGER","1"
"5934","6066","HUNGER","3"
"5932","6070","HUNGER","0"
"5958","6071","HUNGER","3"
"5970","6077","HUNGER","0"
"5960","6077","HUNGER","0"
"5977","6083","HUNGER","1"
"5978","6085","HUNGER","0"
"5963","6088","HUNGER","2"
"5975","6091","HUNGER","0"
"5998","6092","HUNGER","2"
"5995","6099","HUNGER","1"
"6011","6105","HUNGER","2"
"5994","6108","HUNGER","0"
"5997","6119","HUNGER","0"
"6019","6121","HUNGER","0"
"6027","6127","HUNGER","0"
"6014","6134","HUNGER","0"
"6043","6143","HUNGER","0"
"6012","6145","HUNGER","7"
"6070","6163","HUNGER","0"
"6036","6163","HUNGER","0"
"6091","6229","HUNGER","2"
"6106","6242","HUNGER","2"
"6254","6362","HUNGER","0"
"6261","6382","HUNGER","0"
"6337","6431","HUNGER","0"
"6326","6432","HUNGER","2"
"6344","6439","HUNGER","2"
"6349","6443","HUNGER","0"
"6366","6468","HUNGER","0"
"6340","6478","HUNGER","0"
"6360","6481","HUNGER","0"
"6366","6490","HUNGER","0"
"6372","6493","HUNGER","0"
"6556","6680","HUNGER","0"
"6693","6825","HUNGER","0"
"6744","6835","HUNGER","0"
"6732","6840","HUNGER","1"
"6805","6943","HUNGER","0"
"6942","7046","HUNGER","4"
"6972","7087","HUNGER","0"
"6998","7100","HUNGER","1"
"7004","7118","HUNGER","1"
"6989","7128","HUNGER","1"
"7028","7136","HUNGER","2"
"7022","7152","HUNGER","0"
"7065","7170","HUNGER","0"
"7076","7189","HUNGER","0"
"7139","7252","HUNGER","0"
"7267","7358","HUNGER","1"
"7266","7368","HUNGER","2"
"7234","7372","HUNGER","1"
"7286","7399","HUNGER","0"
